[2025-12-16T00:39:14,994][INFO ][o.e.b.Elasticsearch      ] [node-1] version[9.2.2], pid[1871], build[tar/ed771e6976fac1a085affabd45433234a4babeaf/2025-11-27T08:06:51.614397514Z], OS[Mac OS X/14.6/aarch64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/25.0.1/25.0.1+8-27]
[2025-12-16T00:39:14,998][INFO ][o.e.b.Elasticsearch      ] [node-1] JVM home [/Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2/jdk.app/Contents/Home], using bundled JDK [true]
[2025-12-16T00:39:14,999][INFO ][o.e.b.Elasticsearch      ] [node-1] JVM arguments [-Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, --add-opens=org.apache.lucene.core/org.apache.lucene.codecs.lucene99=org.elasticsearch.server, --add-opens=org.apache.lucene.core/org.apache.lucene.internal.vectorization=org.elasticsearch.server, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=CLDR, -Dorg.apache.lucene.vectorization.upperJavaFeatureVersion=25, -Des.path.home=/Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2, -Des.distribution.type=tar, -Des.java.type=bundled JDK, --enable-native-access=org.elasticsearch.nativeaccess,org.apache.lucene.core, --enable-native-access=ALL-UNNAMED, --illegal-native-access=deny, -XX:ReplayDataFile=logs/replay_pid%p.log, -XX:+EnableDynamicAgentLoading, -Djdk.attach.allowAttachSelf=true, --patch-module=java.base=/Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2/lib/entitlement-bridge/elasticsearch-entitlement-bridge-9.2.2.jar, --add-exports=java.base/org.elasticsearch.entitlement.bridge=org.elasticsearch.entitlement,java.logging,java.net.http,java.naming,jdk.net, -XX:+UseG1GC, -Djava.io.tmpdir=/var/folders/dz/yc_rq0b92pzcxgp56_42hb2m0000gn/T/elasticsearch-8929943588182396452, --add-modules=jdk.incubator.vector, -Dorg.apache.lucene.store.defaultReadAdvice=normal, -Dorg.apache.lucene.store.MMapDirectory.sharedArenaMaxPermits=1, -XX:+HeapDumpOnOutOfMemoryError, -XX:+ExitOnOutOfMemoryError, -XX:ErrorFile=hs_err_pid%p.log, -Xlog:gc*,gc+age=trace,safepoint:file=gc.log:utctime,level,pid,tags:filecount=32,filesize=64m, -Xms31744m, -Xmx31744m, -XX:MaxDirectMemorySize=16642998272, -XX:InitiatingHeapOccupancyPercent=30, -XX:G1ReservePercent=25, --module-path=/Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2/lib, --add-modules=jdk.net, --add-modules=jdk.management.agent, --add-modules=ALL-MODULE-PATH, -Djdk.module.main=org.elasticsearch.server]
[2025-12-16T00:39:14,999][INFO ][o.e.b.Elasticsearch      ] [node-1] Default Locale [en_US]
[2025-12-16T00:39:15,076][INFO ][o.e.n.j.JdkVectorLibrary ] [node-1] vec_caps=1
[2025-12-16T00:39:15,079][INFO ][o.e.n.NativeAccess       ] [node-1] Using native vector library; to disable start with -Dorg.elasticsearch.nativeaccess.enableVectorLibrary=false
[2025-12-16T00:39:15,083][INFO ][o.e.n.NativeAccess       ] [node-1] Using [jdk] native provider and native methods for [MacOS]
[2025-12-16T00:39:15,135][INFO ][o.a.l.i.v.PanamaVectorizationProvider] [node-1] Java vector incubator API enabled; uses preferredBitSize=128
[2025-12-16T00:39:15,165][INFO ][o.e.b.Elasticsearch      ] [node-1] Bootstrapping Entitlements
[2025-12-16T00:39:17,262][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [repository-url]
[2025-12-16T00:39:17,262][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [rest-root]
[2025-12-16T00:39:17,262][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-core]
[2025-12-16T00:39:17,262][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-redact]
[2025-12-16T00:39:17,262][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [ingest-user-agent]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-async-search]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-monitoring]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [repository-s3]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-esql-core]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-analytics]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [search-business-rules]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-ent-search]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-autoscaling]
[2025-12-16T00:39:17,263][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [lang-painless]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-ml]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [legacy-geo]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [lang-mustache]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [x-pack-ql]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [logsdb]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [rank-rrf]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [analysis-common]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [health-shards-availability]
[2025-12-16T00:39:17,264][INFO ][o.e.p.PluginsService     ] [node-1] loaded module [transport-netty4]
